Cubs Wins,White Sox Wins
153,153
156,152
150,158
156,150
158,155
155,152
152,153
154,157
157,156
154,151
157,148
155,155
160,154
152,153
153,151
149,152
157,155
156,156
154,153
154,150
152,150
150,150
150,155
158,156
150,152
150,156
148,152
151,159
155,148
157,155
153,151
152,149
155,156
154,151
153,155
157,155
159,155
157,150
157,152
156,156
153,151
159,153
156,150
153,155
156,151
153,148
151,147
159,149
156,151
151,149
154,151
151,151
153,149
157,146
153,152
154,152
154,150
153,155
152,153
153,154
154,151
151,151
156,150
151,151
158,154
150,155
157,153
156,155
146,156
156,157
156,154
153,152
157,156
152,154
154,154
153,157
154,157
152,148
153,154
154,151
159,149
147,154
156,152
153,154
148,153
156,152
154,151
158,151
154,153
153,155
155,154
152,153
154,153
156,154
152,152
151,152
150,147
155,153
158,157
156,152
155,151
156,154
147,151
149,154
155,154
152,154
155,154
155,148
152,154
157,153
150,151
151,155
151,153
157,153
156,155
155,158
155,153
154,151
149,155
159,156
152,153
154,145
154,154
151,155
153,148
153,146
157,147
155,153
153,154
157,159
153,156
153,156
149,150
150,151
155,153
154,152
156,155
151,152
154,154
156,152
155,149
153,151
147,153
151,155
157,157
152,150
154,153
155,154
155,155
155,158
153,153
151,151
152,151
154,151
155,156
154,157
152,153
155,154
153,153
156,153
154,150
155,152
154,150
151,149
155,154
145,154
152,153
155,151
148,154
153,155
152,153
156,151
151,152
153,156
150,148
151,153
156,152
156,158
157,147
157,148
148,150
153,150
151,155
152,153
151,154
157,153
155,156
156,153
154,154
153,156
151,154
154,153
149,153
155,150
151,155
152,152
155,156
156,160
158,154
152,147
156,153
151,155
156,157
152,159
158,153
154,150
151,152
154,152
152,154
151,156
155,150
152,151
151,147
155,155
160,158
154,151
156,151
154,153
155,152
155,155
161,155
150,151
154,154
156,153
151,152
152,152
149,152
149,153
153,152
151,157
159,158
155,155
154,151
153,160
153,152
147,154
158,150
160,152
152,155
156,155
155,154
157,151
154,152
150,151
153,156
150,152
157,149
151,153
153,151
154,156
152,155
157,148
157,152
154,154
153,154
150,152
146,154
153,155
157,154
152,153
150,144
147,149
155,152
154,157
148,150
152,151
156,145
157,154
158,154
157,150
155,151
155,156
149,154
154,147
152,147
155,150
155,148
151,155
153,159
151,147
149,155
156,155
152,157
156,153
154,152
150,152
154,153
156,156
151,153
144,154
150,155
155,151
152,152
153,151
158,156
156,150
156,157
157,151
154,155
155,154
154,154
153,155
154,152
159,148
155,152
152,150
148,145
157,157
154,153
155,158
154,159
154,150
156,150
153,154
151,155
158,150
153,154
151,154
151,151
152,153
157,154
159,154
153,157
155,158
156,154
152,148
155,155
151,150
160,155
155,157
154,153
157,153
152,155
150,155
152,151
153,152
158,148
151,156
152,153
148,152
154,153
153,152
157,153
157,153
151,155
151,150
150,153
155,151
157,153
158,154
155,155
154,155
153,154
151,148
158,155
152,156
151,153
152,153
147,151
153,153
153,151
156,153
156,152
152,145
153,148
157,147
153,149
152,153
148,152
155,155
149,155
155,150
151,150
151,151
157,150
152,150
154,156
151,153
154,150
156,155
157,150
156,153
151,153
155,149
154,153
150,151
148,150
151,154
151,154
156,151
157,157
153,150
154,154
155,154
155,151
147,154
153,150
154,154
155,151
154,150
153,149
155,153
155,152
150,153
153,150
154,151
154,143
151,153
156,151
152,153
158,146
157,149
152,151
153,155
153,152
149,157
156,155
154,147
158,157
148,156
154,150
156,155
149,152
148,148
153,148
156,148
150,155
148,154
157,155
151,154
158,154
154,151
154,153
155,153
153,160
154,152
153,153
155,153
153,157
149,156
155,151
155,153
152,156
155,156
151,151
152,154
152,149
154,153
151,157
146,152
152,157
147,148
154,154
156,159
152,152
153,155
153,152
155,155
155,155
149,151
153,155
153,145
151,152
155,150
150,148
151,156
156,152
156,152
160,156
153,155
158,152
154,150
153,152
149,155
149,151
155,153
155,156
156,156
154,151
158,151
154,158
153,151
148,150
154,156
157,159
149,152
156,150
155,154
150,150
154,151
153,147
151,151
155,144
