Rk,Player,Age,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
1,Pete Crow-Armstrong*,23,193,11,2,1,8,1,23,2.3,7,29,2.9,.550,.514,2.1,1.0,21,*8,,crowape01
2,Carson Kelly,30,110,13,-1,0,0,2,14,1.4,4,18,1.7,.549,.508,1.7,0.2,17,2/DH,,kellyca02
3,Kyle Tucker*,28,212,12,2,0,-2,-2,10,1.0,7,17,1.6,.523,.506,1.9,-0.4,19,*9/D,,tuckeky01
4,Dansby Swanson,31,194,5,0,1,1,3,9,1.0,7,16,1.6,.521,.506,1.5,0.4,15,*6,,swansda01
5,Nico Hoerner,28,179,0,-1,1,6,1,8,0.8,6,14,1.4,.519,.505,0.8,0.8,8,*4,,hoernni01
6,Michael Busch*,27,168,6,0,0,2,-2,6,0.6,6,12,1.2,.515,.504,1.0,0.0,10,*3/H,,buschmi02
7,Miguel Amaya,26,90,3,0,1,1,2,6,0.6,3,9,0.9,.526,.504,0.8,0.3,8,2/DH,,amayami01
8,Ian Happ#,30,187,4,0,0,1,-1,4,0.4,6,10,0.9,.511,.503,0.8,0.0,9,*7,,happia01
9,Seiya Suzuki,30,188,6,-1,0,-2,-3,0,0.0,6,6,0.5,.499,.500,0.7,-0.5,8,*D/79,,suzukse01
10,Jon Berti,35,81,-5,1,0,1,1,-2,-0.2,3,1,0.0,.493,.499,-0.1,0.2,0,5/4H9,,bertijo01
11,Colin Rea,34,1,0,0,0,0,0,0,0.0,0,0,0.0,.457,.500,0.0,0.0,0,/1,,reaco01
12,Matt Shaw,23,68,-4,1,0,0,0,-2,-0.2,2,1,0.0,.489,.499,0.0,0.1,0,5/H,,shawma01
13,Moisés Ballesteros*,21,12,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.453,.499,-0.1,0.0,-1,/D,,ballemo01
14,Vidal Bruján#,27,14,-1,0,0,-1,0,-2,-0.2,0,-2,-0.2,.486,.499,-0.1,-0.1,-1,/H57D9,,brujavi01
15,Gage Workman*,25,15,-1,0,0,-2,0,-2,-0.2,1,-2,-0.2,.473,.499,0.0,-0.2,0,/56DH,,workmga01
16,Justin Turner,40,77,-4,0,0,0,-1,-5,-0.6,3,-3,-0.3,.480,.497,-0.3,-0.1,-3,3H/D5,,turneju01
17,Nicky Lopez*,30,21,-2,0,0,-2,0,-4,-0.5,1,-4,-0.4,.465,.497,-0.2,-0.2,-2,5/H64D,,lopezni01
,Team Totals,,1810,42,4,3,11,1,60,6.0,60,120,11.6,.513,.504,10.5,1.2,109,,,-9999
