Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 27,boxscore,CHW,,LAA,W,8,1,,Jan-00,1,Tied,Burke,Kikuchi,,2:21,D,31403,0.95,+,
2,Saturday Mar 29,boxscore,CHW,,LAA,L,0,1,,1-Jan,1,Tied,Soriano,Clevinger,Jansen,2:19,D,20602,0.97,-,
3,Sunday Mar 30,boxscore,CHW,,LAA,L,2,3,,2-Jan,2,1,Joyce,Booser,Jansen,2:15,D,19591,0.94,--,
4,Monday Mar 31,boxscore,CHW,,MIN,W,9,0,,2-Feb,1,Tied,Pérez,Paddack,,2:28,D,10423,0.94,+,
5,Tuesday Apr 1,boxscore,CHW,,MIN,L,3,8,,3-Feb,1,Tied,Varland,Murfee,,2:54,N,12089,0.95,-,
6,Wednesday Apr 2,boxscore,CHW,,MIN,L,1,6,,4-Feb,1,Tied,López,Burke,,2:17,D,10193,0.95,--,
7,Friday Apr 4,boxscore,CHW,@,DET,L,4,7,,5-Feb,4,1,Flaherty,Cannon,,2:59,D,44735,0.95,---,
8,Saturday Apr 5,boxscore,CHW,@,DET,L,2,7,,6-Feb,5,2,Olson,Martin,,2:17,D,26098,0.83,----,
9,Sunday Apr 6,boxscore,CHW,@,DET,L-wo,3,4,,7-Feb,5,3,Brebbia,Ellard,,2:37,D,20981,0.83,-----,
10,Tuesday Apr 8,boxscore,CHW,@,CLE,L-wo,0,1,,8-Feb,5,4.5,Clase,Clevinger,,2:30,D,33722,0.76,------,
11,Wednesday Apr 9,boxscore,CHW,@,CLE,L,2,3,,9-Feb,5,4.5,Sewald,Burke,Clase,2:37,N,12997,0.74,-------,
12,Thursday Apr 10,boxscore,CHW,@,CLE,L,1,6,,10-Feb,5,5,Williams,Cannon,,2:27,D,12663,0.69,--------,
13,Friday Apr 11,boxscore,CHW,,BOS,W,11,1,,10-Mar,5,5,Martin,Newcomb,,2:46,N,13432,0.6,+,
14,Saturday Apr 12,boxscore,CHW,,BOS,W-wo,3,2,,10-Apr,4,5,Gilbert,Chapman,,2:46,D,30423,0.65,++,
15,Sunday Apr 13,boxscore,CHW,,BOS,L,1,3,,11-Apr,5,5,Crochet,Smith,Chapman,2:20,D,18840,0.68,-,
16,Tuesday Apr 15,boxscore,CHW,,ATH,L,3,12,,12-Apr,5,5.5,Springs,Burke,Spence,2:37,N,10673,0.63,--,
17,Wednesday Apr 16,boxscore,CHW,,ATH,L,1,3,,13-Apr,5,5.5,Bido,Gilbert,Miller,2:47,N,10411,0.55,---,
18,Thursday Apr 17,boxscore,CHW,,ATH,L,0,8,,14-Apr,5,6.5,Sears,Martin,,2:35,D,10560,0.54,----,
19,Friday Apr 18,boxscore,CHW,@,BOS,L,3,10,,15-Apr,5,7.5,Dobbins,Pérez,,2:22,N,35620,0.49,-----,
20,Saturday Apr 19,boxscore,CHW,@,BOS,L-wo,3,4,10,16-Apr,5,8.5,Whitlock,Vasil,,2:59,D,36559,0.41,------,
21,Sunday Apr 20,boxscore,CHW,@,BOS,W,8,4,,16-May,5,7.5,Eisert,Kelly,,2:46,D,32632,0.38,+,
22,Monday Apr 21,boxscore,CHW,@,BOS,L,2,4,,17-May,5,8.5,Buehler,Cannon,Slaten,2:14,D,34721,0.44,-,
23,Tuesday Apr 22,boxscore,CHW,@,MIN,L,2,4,,18-May,5,9,Ober,Martin,Durán,2:31,N,11828,0.41,--,
24,Wednesday Apr 23,boxscore,CHW,@,MIN,L,3,6,,19-May,5,9.5,Topa,Leasure,Coulombe,2:55,N,12407,0.35,---,
25,Thursday Apr 24,boxscore,CHW,@,MIN,W,3,0,7,19-Jun,5,9,Smith,Paddack,Eisert,2:29,D,12414,0.32,+,
26,Friday Apr 25,boxscore,CHW,@,ATH,L,5,6,,20-Jun,5,9.5,Sterner,Burke,Miller,2:28,N,10283,0.36,-,
27,Saturday Apr 26,boxscore,CHW,@,ATH,W,10,3,,20-Jul,5,10,Cannon,Springs,,2:30,D,8832,0.3,+,
28,Sunday Apr 27,boxscore,CHW,@,ATH,L-wo,2,3,10,21-Jul,5,11,Holman,Leasure,,2:26,D,9127,0.34,-,
29,Tuesday Apr 29,boxscore,CHW,,MIL,L,2,7,,22-Jul,5,10.5,Peralta,Wilson,,2:49,N,14904,0.26,--,
30,Wednesday Apr 30,boxscore,CHW,,MIL,L,4,6,,23-Jul,5,11.5,Koenig,Booser,Megill,2:52,N,10253,0.24,---,
31,Thursday May 1,boxscore,CHW,,MIL,W,8,0,,23-Aug,5,11.5,Burke,Patrick,,2:18,D,11917,0.2,+,
32,Friday May 2,boxscore,CHW,,HOU,W,7,3,,23-Sep,5,11.5,Cannon,Valdez,,2:38,N,13866,0.24,++,
33,Saturday May 3,boxscore,CHW,,HOU,L,3,8,,24-Sep,5,11.5,Brown,Ellard,,2:37,D,20874,0.26,-,
34,Sunday May 4,boxscore,CHW,,HOU,W,5,4,7,24-Oct,5,11.5,Vasil,Okert,,2:30,D,19418,0.22,+,
35,Monday May 5,boxscore,CHW,@,KCR,L,0,3,,25-Oct,5,12,Ragans,Smith,Estévez,2:28,N,12529,0.26,-,
36,Tuesday May 6,boxscore,CHW,@,KCR,L-wo,3,4,,26-Oct,5,12.5,Clarke,Booser,,2:26,N,15968,0.24,--,
37,Wednesday May 7,boxscore,CHW,@,KCR,L,1,2,,27-Oct,5,13.5,Wacha,Cannon,Estévez,2:08,N,12328,0.19,---,
