Rk,Uni,Name,Handedness,Birth,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,45,Drew Pomeranz,R,us US,Pitcher,*,,36,R,L,6' 5 in,246,Nov 22 1988,2011,pomerdr01
2,55,Ryan Pressly,R,us US,Pitcher,*,,36,R,R,6' 2 in,207,Dec 15 1988,2008,pressry01
3,32,Ben Brown,R,us US,Pitcher,*,,25,R,R,6' 6 in,210,Sep 9 1999,2017,brownbe02
4,16,Matthew Boyd,L,us US,Pitcher,*,,34,L,L,6' 3 in,223,Feb 2 1991,2011,boydma01
5,24,Caleb Thielbar,R,us US,Pitcher,*,,38,R,L,6' 0 in,205,Jan 31 1987,2009,thielca01
6,50,Jameson Taillon,R,us US,Pitcher,*,,33,R,R,6' 5 in,230,Nov 18 1991,2011,taillja01
7,53,Colin Rea,R,us US,Pitcher,*,,34,R,R,6' 5 in,220,Jul 1 1990,2010,reaco01
8,48,Daniel Palencia,R,ve VE,Pitcher,*,,25,R,R,5' 11 in,160,Feb 5 2000,2021,palenda01
9,77,Chris Flexen,R,us US,Pitcher,*,,30,R,R,6' 3 in,220,Jul 1 1994,2012,flexech01
10,40,Brad Keller,R,us US,Pitcher,*,,29,R,R,6' 5 in,255,Jul 27 1995,2013,kellebr01
11,37,Porter Hodge,R,us US,Pitcher,*,,24,R,R,6' 4 in,230,Feb 21 2001,2019,hodgepo01
12,66,Julian Merryweather,R,us US,Pitcher,*,,33,R,R,6' 4 in,215,Oct 14 1991,2014,merryju01
13,22,Cade Horton,R,us US,Pitcher,*,,23,R,R,6' 1 in,211,Aug 20 2001,2022,hortoca01
14,12,Nicky Lopez,L,us US,Position,*,,30,L,R,5' 10 in,185,Mar 13 1995,2014,lopezni01
15,9,Miguel Amaya,R,pa PA,Position,*,,26,R,R,6' 1 in,230,Mar 9 1999,2016,amayami01
16,4,Pete Crow-Armstrong,L,us US,Position,*,,23,L,L,6' 0 in,184,Mar 25 2002,2021,crowape01
17,3,Justin Turner,R,us US,Position,*,,40,R,R,5' 11 in,208,Nov 23 1984,2006,turneju01
18,17,Vidal Bruján,S,do DO,Position,*,,27,S,R,5' 9 in,180,Feb 9 1998,2015,brujavi01
19,27,Seiya Suzuki,R,jp JP,Position,*,,30,R,R,6' 0 in,182,Aug 18 1994,2013,suzukse01
20,29,Michael Busch,L,us US,Position,*,,27,L,R,6' 0 in,210,Nov 9 1997,2017,buschmi02
21,30,Kyle Tucker,L,us US,Position,*,,28,L,R,6' 4 in,212,Jan 17 1997,2015,tuckeky01
22,2,Nico Hoerner,R,us US,Position,*,,28,R,R,5' 11 in,200,May 13 1997,2016,hoernni01
23,25,Moisés Ballesteros,L,ve VE,Position,*,,21,L,R,5' 8 in,215,Nov 8 2003,2021,ballemo01
24,7,Dansby Swanson,R,us US,Position,*,,31,R,R,6' 0 in,190,Feb 11 1994,2013,swansda01
25,15,Carson Kelly,R,us US,Position,*,,30,R,R,6' 1 in,212,Jul 14 1994,2012,kellyca02
26,5,Jon Berti,R,us US,Position,*,,35,R,R,5' 10 in,190,Jan 22 1990,2010,bertijo01
27,8,Ian Happ,S,us US,Position,,10-day,30,S,R,5' 11 in,205,Aug 12 1994,2013,happia01
28,18,Shota Imanaga,L,jp JP,Pitcher,,15-day,31,L,L,5' 10 in,175,Sep 1 1993,2016,imanash01
29,54,Ryan Brasier,R,us US,Pitcher,,15-day,37,R,R,6' 0 in,223,Aug 26 1987,2007,brasiry01
30,49,Tyson Miller,R,us US,Pitcher,,60-day,29,R,R,6' 5 in,220,Jul 29 1995,2014,millety01
31,33,Eli Morgan,R,us US,Pitcher,,60-day,29,R,R,5' 10 in,190,May 13 1996,2014,morgael01
32,72,Javier Assad,R,mx MX,Pitcher,,60-day,27,R,R,6' 1 in,200,Jul 30 1997,2016,assadja01
33,35,Justin Steele,L,us US,Pitcher,,60-day,29,L,L,6' 2 in,205,Jul 11 1995,2014,steelju01
34,43,Luke Little,L,us US,Pitcher,,,24,L,L,6' 8 in,220,Aug 30 2000,2019,littllu01
35,39,Ethan Roberts,R,us US,Pitcher,,,27,R,R,5' 10 in,180,Jul 4 1997,2016,roberet01
36,37,Jack Neely,R,us US,Pitcher,,,25,R,R,6' 8 in,245,Jun 5 2000,2019,neelyja01
37,38,Tom Cosgrove,L,us US,Pitcher,,,29,L,L,6' 2 in,190,Jun 14 1996,2015,cosgrto01
38,46,Gavin Hollowell,R,us US,Pitcher,,,27,R,R,6' 7 in,215,Nov 4 1997,2016,holloga01
39,56,Nate Pearson,R,us US,Pitcher,,,28,R,R,6' 6 in,255,Aug 20 1996,2016,pearsna01
40,36,Jordan Wicks,L,us US,Pitcher,,,25,L,L,6' 3 in,220,Sep 1 1999,2019,wicksjo01
41,13,Kevin Alcántara,R,do DO,Position,,,22,R,R,6' 6 in,188,Jul 12 2002,2019,alcanke01
42,78,Owen Caissie,L,ca CA,Position,,,22,L,R,6' 3 in,190,Jul 8 2002,2021,redirect.fcgi?player=1&mlb_ID=683357
44,6,Matt Shaw,R,us US,Position,,,23,R,R,5' 10 in,185,Nov 6 2001,2020,shawma01
