Rk,Player,Handedness,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,Awards,Player-additional,EligiblePositions,PositionFlexibility,IsP,IsC,Is1B,Is2B,Is3B,IsSS,IsLF,IsCF,IsRF,IsOF,IsDH,IsUT
1,Miguel Amaya,R,26,pa PA,R,R,6-1,230,1999-03-09,3,24,22,24,23,0,23,0,0,0,0,0,0,0,0,1,,,,amayami01,"C,DH",2,0,1,0,0,0,0,0,0,0,0,1,0
2,Moisés Ballesteros,L,21,ve VE,L,R,5-8,195,2003-11-08,1st,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,,,,ballemo01,DH,1,0,0,0,0,0,0,0,0,0,0,1,0
3,Jon Berti,R,35,us US,R,R,5-10,190,1990-01-22,8,29,21,29,29,0,0,0,5,23,0,0,0,1,1,0,,,,bertijo01,"2B,3B,RF,OF",4,0,0,0,1,1,0,0,0,1,1,0,0
4,Matthew Boyd,L,34,us US,L,L,6-3,223,1991-02-02,11,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,boydma01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
5,Ryan Brasier,R,37,us US,R,R,6-0,223,1987-08-26,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,brasiry01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
6,Ben Brown,R,25,us US,R,R,6-6,210,1999-09-09,2,9,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,brownbe02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
7,Vidal Bruján,B,27,do DO,B,R,5-9,180,1998-02-09,5,15,3,15,8,0,0,0,0,5,0,2,0,1,3,2,,,,brujavi01,"3B,LF,RF,OF,DH",5,0,0,0,0,1,0,1,0,1,1,1,0
8,Michael Busch,L,27,us US,L,R,6-0,210,1997-11-09,3,43,38,43,42,0,0,42,0,0,0,0,0,0,0,0,,,,buschmi02,1B,1,0,0,1,0,0,0,0,0,0,0,0,0
9,Tom Cosgrove,L,29,us US,L,L,6-2,190,1996-06-14,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,cosgrto01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
10,Pete Crow-Armstrong,L,23,us US,L,L,6-0,184,2002-03-25,3,46,46,46,46,0,0,0,0,0,0,0,46,0,46,0,,,,crowape01,"CF,OF",2,0,0,0,0,0,0,0,1,0,1,0,0
11,Chris Flexen,R,30,us US,R,R,6-3,220,1994-07-01,8,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,flexech01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
12,Ian Happ,B,30,us US,B,R,5-11,205,1994-08-12,9,39,39,39,39,0,0,0,0,0,0,39,0,0,39,0,,,,happia01,"LF,OF",2,0,0,0,0,0,0,1,0,0,1,0,0
13,Porter Hodge,R,24,us US,R,R,6-4,230,2001-02-21,2,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,,hodgepo01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
14,Nico Hoerner,R,28,us US,R,R,5-11,200,1997-05-13,7,42,42,42,42,0,0,0,42,0,0,0,0,0,0,0,,,,hoernni01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
15,Gavin Hollowell,R,27,us US,R,R,6-7,215,1997-11-04,4,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,holloga01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
16,Cade Horton,R,23,us US,R,R,6-1,211,2001-08-20,1st,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,hortoca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
17,Shota Imanaga,L,31,jp JP,L,L,5-10,175,1993-09-01,2,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,,imanash01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
18,Brad Keller,R,29,us US,R,R,6-5,255,1995-07-27,8,19,1,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,,kellebr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
19,Carson Kelly,R,30,us US,R,R,6-1,212,1994-07-14,10,28,26,28,25,0,25,0,0,0,0,0,0,0,0,2,,,,kellyca02,"C,DH",2,0,1,0,0,0,0,0,0,0,0,1,0
20,Luke Little,L,24,us US,L,L,6-8,220,2000-08-30,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,littllu01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
21,Nicky Lopez,L,30,us US,L,R,5-10,185,1995-03-13,7,13,5,13,12,0,0,0,1,11,2,0,0,0,0,1,,,,lopezni01,"2B,3B,SS,DH",4,0,0,0,1,1,1,0,0,0,0,1,0
22,Julian Merryweather,R,33,us US,R,R,6-4,215,1991-10-14,6,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,,merryju01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
23,Eli Morgan,R,29,us US,R,R,5-10,190,1996-05-13,5,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,morgael01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
24,Daniel Palencia,R,25,ve VE,R,R,5-11,160,2000-02-05,3,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,,palenda01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
25,Nate Pearson,R,28,us US,R,R,6-6,255,1996-08-20,5,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,,pearsna01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
26,Drew Pomeranz,R,36,us US,R,L,6-5,246,1988-11-22,12,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,pomerdr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
27,Ryan Pressly,R,36,us US,R,R,6-2,207,1988-12-15,13,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,,pressry01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
28,Colin Rea,R,34,us US,R,R,6-5,220,1990-07-01,7,9,6,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,reaco01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
29,Ethan Roberts,R,27,us US,R,R,5-10,180,1997-07-04,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,roberet01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
30,Matt Shaw,R,23,us US,R,R,5-10,185,2001-11-06,1st,18,16,18,18,0,0,0,0,18,0,0,0,0,0,0,,,,shawma01,3B,1,0,0,0,0,1,0,0,0,0,0,0,0
31,Justin Steele,L,29,us US,L,L,6-2,205,1995-07-11,5,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,steelju01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
