Rk,Player,Handedness,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,EligiblePositions,PositionFlexibility,IsP,IsC,Is1B,Is2B,Is3B,IsSS,IsLF,IsCF,IsRF,IsOF,IsDH,IsUT
1,Carson Kelly,R,30,C,1.7,28,110,87,20,26,3,1,8,23,0,0,21,14,.299,.436,.632,1.069,200,.458,200,55,2,1,0,1,0,2/DH,,kellyca02,"2B,3B",2,0,0,0,1,1,0,0,0,0,0,0,0
2,Michael Busch,L,27,1B,1.2,43,168,145,21,36,8,1,7,24,2,0,18,43,.248,.351,.462,.813,130,.361,130,67,1,5,0,0,0,*3/H,,buschmi02,"2B,3B",2,0,0,0,1,1,0,0,0,0,0,0,0
3,Nico Hoerner,R,28,2B,1.4,42,179,165,26,47,9,1,0,19,10,2,10,16,.285,.330,.352,.681,94,.325,101,58,0,2,0,2,0,*4,,hoernni01,"2B,3B",2,0,0,0,1,1,0,0,0,0,0,0,0
4,Dansby Swanson,R,31,SS,1.6,46,194,174,32,44,7,1,10,26,6,0,17,51,.253,.316,.477,.793,122,.357,124,83,2,0,1,2,1,*6,,swansda01,"2B,3B",2,0,0,0,1,1,0,0,0,0,0,0,0
5,Jon Berti,R,35,3B,0.0,29,81,75,10,16,2,0,0,2,7,1,4,18,.213,.272,.240,.512,47,.260,50,18,1,2,0,0,0,5/4H9,,bertijo01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
6,Ian Happ,S,30,LF,0.9,39,187,160,29,43,9,0,3,19,2,1,24,35,.269,.364,.381,.745,113,.345,120,61,3,1,0,2,0,*7,,happia01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
7,Pete Crow-Armstrong,L,23,CF,2.9,46,193,179,34,51,11,2,12,38,14,3,9,46,.285,.321,.570,.891,148,.393,149,102,0,1,3,1,0,*8,,crowape01,"2B,3B",2,0,0,0,1,1,0,0,0,0,0,0,0
8,Kyle Tucker,L,28,RF,1.6,46,212,178,34,47,9,4,10,33,12,0,33,24,.264,.377,.528,.905,155,.399,150,94,4,0,0,1,4,*9/D,,tuckeky01,"2B,3B",2,0,0,0,1,1,0,0,0,0,0,0,0
9,Seiya Suzuki,R,30,DH,0.5,42,188,172,24,42,10,2,11,37,1,2,14,54,.244,.298,.517,.815,127,.352,128,89,4,0,0,2,0,*D/79,,suzukse01,"2B,3B",2,0,0,0,1,1,0,0,0,0,0,0,0
10,Miguel Amaya,R,26,C,0.9,24,90,84,12,23,8,0,3,20,0,0,3,20,.274,.303,.476,.780,118,.354,127,40,0,1,1,1,0,2/DH,,amayami01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
11,Justin Turner,R,40,CI,-0.3,27,77,63,4,11,1,0,0,9,1,0,11,16,.175,.299,.190,.489,43,.258,56,12,1,1,0,2,0,3H/D5,,turneju01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
12,Matt Shaw,R,23,3B,0.0,18,68,58,11,10,1,0,1,3,0,0,10,18,.172,.294,.241,.535,55,.253,55,14,0,0,0,0,0,5/H,,shawma01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
13,Nicky Lopez,L,30,IF,-0.4,13,21,17,2,1,0,0,0,1,0,0,4,3,.059,.238,.059,.297,-10,.172,-3,1,1,0,0,0,0,5/H64D,,lopezni01,,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Gage Workman,L,25,IF,-0.2,9,15,14,0,3,1,0,0,2,1,0,1,6,.214,.267,.286,.552,58,.262,49,4,0,0,0,0,0,/56DH,,workmga01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
15,Vidal Bruján,S,27,UT,-0.2,15,14,14,2,3,2,0,0,1,1,1,0,3,.214,.214,.357,.571,59,.219,45,5,0,0,0,0,0,/H57D9,,brujavi01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
16,Moisés Ballesteros,L,21,DH,-0.1,3,12,10,3,1,0,0,0,2,0,0,2,0,.100,.250,.100,.350,5,.193,12,1,1,0,0,0,0,/D,,ballemo01,,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Colin Rea,R,34,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/1,,reaco01,,0,0,0,0,0,0,0,0,0,0,0,0,0
