Rk,Player,Handedness,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,EligiblePositions,PositionFlexibility,IsP,IsC,Is1B,Is2B,Is3B,IsSS,IsLF,IsCF,IsRF,IsOF,IsDH,IsUT
1,Matthew Boyd,L,34,SP,1.1,4,2,.667,2.98,9,9,0,0,0,0,51.1,50,20,17,7,13,0,53,5,0,0,214,135,3.86,1.227,8.8,1.2,2.3,9.3,4.08,,boydma01,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jameson Taillon,R,33,SP,0.1,2,3,.400,4.53,9,9,0,0,0,0,49.2,46,26,25,13,9,0,42,0,0,0,203,89,5.35,1.107,8.3,2.4,1.6,7.6,4.67,,taillja01,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Shota Imanaga,L,31,SP,1.3,3,2,.600,2.82,8,8,0,0,0,0,44.2,35,15,14,7,14,0,34,0,0,0,181,143,4.55,1.097,7.1,1.4,2.8,6.9,2.43,,imanash01,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Ben Brown,R,25,SP,0.1,3,3,.500,4.75,9,8,0,0,0,0,41.2,49,23,22,4,16,0,50,3,0,0,191,85,3.32,1.560,10.6,0.9,3.5,10.8,3.13,,brownbe02,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Colin Rea,R,34,SP,0.8,3,0,1.000,2.48,9,6,3,0,0,1,36.1,35,11,10,3,9,0,29,0,0,0,148,163,3.32,1.211,8.7,0.7,2.2,7.2,3.22,,reaco01,,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Justin Steele,L,29,SP,0.1,3,1,.750,4.76,4,4,0,0,0,0,22.2,21,12,12,5,5,0,21,1,0,0,92,85,4.91,1.147,8.3,2.0,2.0,8.3,4.20,,steelju01,,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ryan Pressly,R,36,CL,-0.6,2,2,.500,6.46,17,0,10,0,0,4,15.1,19,13,11,1,9,0,8,1,0,0,72,63,4.86,1.826,11.2,0.6,5.3,4.7,0.89,,pressry01,,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Brad Keller,R,29,RP,0.1,0,0,,3.05,19,1,3,0,0,0,20.2,17,9,7,0,7,0,23,1,0,0,85,134,2.03,1.161,7.4,0.0,3.0,10.0,3.29,,kellebr01,,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Porter Hodge,R,24,RP,-0.2,2,1,.667,5.12,21,0,5,0,0,2,19.1,18,12,11,2,11,0,19,0,0,4,84,80,4.19,1.500,8.4,0.9,5.1,8.8,1.73,,hodgepo01,,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Julian Merryweather,R,33,RP,-0.1,0,1,.000,4.76,19,0,1,0,0,0,17.0,18,10,9,2,10,2,14,0,0,1,77,86,4.75,1.647,9.5,1.1,5.3,7.4,1.40,,merryju01,,0,0,0,0,0,0,0,0,0,0,0,0,0
