Rk,Player,Handedness,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Awards,Player-additional
1,Shota Imanaga,L,31,44.2,8,8,15,3.02,5.12,0.44,0.23,0.00,96,4.70,8,0.9,,-0.1,1.3,13,.615,.506,,imanash01
2,Matthew Boyd,L,34,51.1,9,9,20,3.51,5.17,0.41,0.24,0.00,93,4.66,7,0.7,,-0.1,1.1,11,.578,.504,,boydma01
3,Colin Rea,R,34,36.1,9,6,11,2.72,4.61,0.45,0.13,0.00,95,4.09,5,0.6,0.11,-0.1,0.8,9,.565,.504,,reaco01
4,Daniel Palencia,R,25,15.0,13,0,2,1.20,4.73,0.36,-0.32,0.00,93,3.77,4,0.5,0.87,-0.1,0.5,6,.535,.503,,palenda01
5,Caleb Thielbar,L,38,15.1,18,0,5,2.93,5.09,0.39,-0.34,0.37,94,4.45,3,0.3,1.34,0.0,0.4,4,.515,.502,,thielca01
6,Drew Pomeranz,L,36,8.2,9,0,0,0.00,4.53,0.31,-0.30,0.00,93,3.64,4,0.4,0.77,-0.1,0.4,4,.541,.502,,pomerdr01
7,Chris Flexen,R,30,7.0,4,0,0,0.00,4.52,0.40,-0.30,0.00,95,3.61,3,0.3,0.27,-0.1,0.2,3,.576,.502,,flexech01
8,Gavin Hollowell,R,27,6.1,5,0,1,1.42,5.74,0.44,-0.38,0.00,90,4.43,2,0.2,0.28,-0.1,0.2,3,.545,.501,,holloga01
9,Ben Brown,R,25,41.2,9,8,23,4.97,4.96,0.43,0.19,0.00,94,4.45,-2,-0.3,1.27,-0.1,0.1,2,.472,.498,,brownbe02
10,Tom Cosgrove,L,29,4.0,2,0,1,2.25,4.83,0.45,-0.32,0.00,95,3.86,1,0.1,0.05,-0.1,0.1,1,.538,.500,,cosgrto01
11,Jameson Taillon,R,33,49.2,9,9,26,4.71,4.72,0.45,0.22,0.00,96,4.28,-2,-0.3,,-0.1,0.1,2,.472,.498,,taillja01
12,Brad Keller,R,29,20.2,19,1,9,3.92,4.99,0.39,-0.33,0.00,95,4.04,0,0.0,0.79,-0.1,0.1,2,.501,.500,,kellebr01
13,Justin Steele,L,29,22.2,4,4,12,4.76,4.83,0.42,0.22,0.00,100,4.62,0,0.0,,0.0,0.1,2,.489,.500,,steelju01
14,Ryan Brasier,R,37,1.0,1,0,1,9.00,6.15,0.59,-0.41,0.00,92,4.73,0,-0.1,0.30,0.0,0.0,0,.452,.500,,brasiry01
15,Julian Merryweather,R,33,17.0,19,0,10,5.29,5.04,0.46,-0.34,0.33,93,4.27,-2,-0.2,1.29,-0.1,-0.1,0,.489,.499,,merryju01
16,Ethan Roberts,R,27,8.1,9,0,5,5.40,5.30,0.46,-0.35,0.00,91,4.11,-1,-0.1,0.92,0.0,-0.1,0,.486,.499,,roberet01
17,Luke Little,L,24,0.2,1,0,1,13.50,5.14,0.43,-0.34,0.00,94,4.12,-1,-0.1,0.54,0.0,-0.1,-1,.432,.500,,littllu01
18,Cade Horton,R,23,9.0,2,1,6,6.00,4.34,0.49,0.20,0.00,89,3.61,-2,-0.2,0.97,0.0,-0.2,-2,.387,.499,,hortoca01
19,Porter Hodge,R,24,19.1,21,0,12,5.59,5.08,0.41,-0.34,0.58,94,4.63,-2,-0.2,1.67,-0.2,-0.2,0,.490,.499,,hodgepo01
20,Nate Pearson,R,28,8.2,8,0,10,10.38,5.18,0.58,-0.35,0.00,96,4.09,-6,-0.6,0.49,0.1,-0.4,-5,.426,.496,,pearsna01
21,Eli Morgan,R,29,7.1,7,0,10,12.27,5.35,0.56,-0.36,0.00,98,4.34,-6,-0.6,0.51,0.1,-0.4,-6,.411,.496,,morgael01
22,Jordan Wicks,L,25,2.0,2,0,5,22.50,6.33,0.74,-0.42,5.58,92,9.89,-3,-0.3,2.05,-0.1,-0.4,-3,.371,.498,,wicksjo01
23,Ryan Pressly,R,36,15.1,17,0,13,7.63,5.12,0.52,-0.34,0.36,94,4.36,-6,-0.6,1.32,-0.2,-0.6,-4,.467,.497,,pressry01
