Rk,Player,Handedness,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,Awards,Player-additional,EligiblePositions,PositionFlexibility,IsP,IsC,Is1B,Is2B,Is3B,IsSS,IsLF,IsCF,IsRF,IsOF,IsDH,IsUT
1,Jacob Amaya,R,26,us US,R,R,5-10,180,1998-09-03,3,34,24,33,34,1,0,0,0,0,33,0,0,0,0,0,0,2,,amayaja01,"P,SS",2,1,0,0,0,0,1,0,0,0,0,0,0
2,Brooks Baldwin,B,24,us US,B,R,6-1,195,2000-08-15,2,43,34,43,42,0,0,0,9,1,10,23,4,8,32,0,,,,baldwbr01,"2B,3B,SS,LF,CF,RF,OF",7,0,0,0,1,1,1,1,1,1,1,0,0
3,Andrew Benintendi,L,30,us US,L,L,5-10,185,1994-07-06,10,24,23,24,18,0,0,0,0,0,0,18,0,0,18,6,,,,beninan01,"LF,OF,DH",3,0,0,0,0,0,0,1,0,0,1,1,0
4,Cam Booser,L,33,us US,L,L,6-3,230,1992-05-04,2,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,,booseca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
5,Sean Burke,R,25,us US,R,R,6-6,240,1999-12-18,2,10,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,burkese01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
6,Jonathan Cannon,R,24,us US,R,R,6-6,225,2000-07-19,2,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,cannojo02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
7,Miguel Castro,R,30,do DO,R,R,6-7,201,1994-12-24,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,castrmi01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
8,Mike Clevinger,R,34,us US,R,R,6-4,215,1990-12-21,9,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,,clevimi01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
9,Bobby Dalbec,R,30,us US,R,R,6-3,225,1995-06-29,6,7,4,7,7,0,0,5,0,1,3,0,0,0,0,0,,,,dalbebo01,"1B,3B,SS",3,0,0,1,0,1,1,0,0,0,0,0,0
10,Brandon Eisert,L,27,us US,L,L,6-2,210,1998-01-19,2,18,2,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,,eiserbr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
11,Tim Elko,R,26,us US,R,R,6-3,250,1998-12-27,1st,6,5,6,4,0,0,4,0,0,0,0,0,0,0,2,,,,elkoti01,"1B,DH",2,0,0,1,0,0,0,0,0,0,0,1,0
12,Fraser Ellard,L,27,us US,L,L,6-3,220,1997-11-06,2,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,ellarfr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
13,Caleb Freeman,R,27,us US,R,R,6-1,195,1998-02-23,1st,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,freemca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
14,Tyler Gilbert,L,31,us US,L,L,6-3,225,1993-12-22,5,13,3,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,,gilbety01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
15,Yoendrys Gómez,R,25,ve VE,R,R,6-3,212,1999-10-15,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,gomezyo01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
16,Travis Jankowski,L,34,us US,L,R,6-3,195,1991-06-15,11,7,4,7,6,0,0,0,0,0,0,0,2,5,6,0,,,,jankotr01,"CF,RF,OF",3,0,0,0,0,0,0,0,1,1,1,0,0
